ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"37.131.165.19","elite","AS35745","PL","KSU Provector Network","49","N/A","59341","socks4","2398","2","2024-04-04T23:22:44.730Z","100","50","50"
"185.139.69.118","elite","AS204997","RU","First Server Limited","55","Firstbyte Hosting","20997","socks5","77","2","2024-04-04T23:22:44.816Z","92","6213","6762"
"107.150.50.226","elite","AS33387","US","Nocix, LLC","106","home","56970","socks5","72","90","2024-04-04T23:22:44.724Z","99","6669","6749"
"8.219.135.23","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","336","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","417","2","2024-04-04T23:22:44.512Z","99","6698","6746"
"82.103.116.126","elite","AS8717","BG","A1 Bulgaria EAD","47","A1 Bulgaria EAD","4153","socks4","72","87","2024-04-04T23:22:44.818Z","99","6715","6761"
"165.225.110.77","elite","AS53813","JP","ZSCALER, INC.","294","Zscaler, Inc.","10605","socks4","1693","2","2024-04-04T23:22:44.902Z","96","6399","6661"
"85.159.210.237","elite","AS63949","GB","Akamai Technologies, Inc.","10","Linode","37093","socks5","4494","82","2024-04-04T23:22:44.910Z","67","4462","6690"
"69.163.252.140","elite","AS26347","US","New Dream Network, LLC","163","New Dream Network, LLC","10754","socks4","3894","3","2024-04-04T23:22:44.517Z","100","6810","6816"
"61.7.184.130","elite","AS131090","TH","CAT Telecom Public Company Limited","285","National Telecom Public Company Limited","4153","socks4","73","3","2024-04-04T23:22:44.727Z","83","5636","6810"
"104.18.65.115","elite","AS13335","CA","Cloudflare, Inc.","84","Cloudflare, Inc.","2105","socks4","4394","3","2024-04-04T23:22:44.904Z","100","6734","6735"
"103.94.133.90","elite","AS136128","ID","PT CITRA AKSES INDONUSA","199","PT CITRA AKSES INDONUSA","4153","socks4","72","3","2024-04-04T23:21:21.307Z","98","6637","6783"
"103.132.54.54","elite","AS138123","ID","PT. ADEAKSA INDO JAYATAMA","189","Dexa","1080","socks4","4607","95","2024-04-04T23:21:21.403Z","99","6615","6658"
"178.212.54.161","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","41","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","4490","2","2024-04-04T23:21:20.302Z","98","6639","6759"
"2.229.249.153","elite","AS12874","IT","Fastweb Networks","32","N/A","4145","socks4","72","83","2024-04-04T23:21:20.505Z","100","6695","6695"
"118.174.46.146","elite","AS131293","TH","TOT Public Company Limited","188","TOT Public Company Limited","45330","socks4","715","96","2024-04-04T23:21:20.704Z","98","6669","6786"
"36.66.34.10","elite","AS7713","ID","PT. Telekomunikasi Indonesia","169","N/A","8080","socks4","2186","2","2024-04-04T23:21:20.502Z","98","6665","6769"
"188.255.244.9","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","39","Orion Telekom Tim d.o.o.Beograd","1080","socks4","65","82","2024-04-04T23:21:20.304Z","100","6634","6652"
"185.202.113.232","elite","AS212552","DE","BitCommand LLC","23","BitCommand","3001","socks4","71","94","2024-04-04T23:21:20.606Z","100","6708","6721"
"45.226.48.6","elite","AS267015","BR","Esadinet - Empresa De Servicos Adm. De Itubera LTD","217","Esadinet - Empresa De Servicos Adm. De Itubera LTD","4153","socks4","71","2","2024-04-04T23:21:20.105Z","98","6659","6779"
"111.125.88.186","elite","AS17639","PH","Converge-ict Solution Inc","189","Converge ICT Solution Inc","4145","socks4","5202","3","2024-04-04T23:21:20.602Z","59","3944","6660"
"195.14.22.173","elite","AS41653","FR","Aqua Ray SAS","3","Aqua Ray","80","socks5","1401","2","2024-04-04T23:21:20.499Z","100","6689","6690"
"5.22.154.50","elite","AS60829","SK","NEVERNET, s.r.o.","51","NEVERNET, s.r.o","32127","socks4","72","96","2024-04-04T23:21:19.701Z","99","6671","6725"
"14.99.212.242","elite","AS45820","IN","Tata Teleservices LTD - Tata Indicom - Cdma Division","173","Tata Teleservices LTD Cdma","5678","socks4","181","4","2024-04-04T23:21:19.801Z","56","3810","6783"
"41.223.232.34","elite","AS37008","BF","Alink Telecom Faso v","130","N/A","4145","socks4","73","2","2024-04-04T23:21:16.003Z","98","6576","6681"
"173.177.85.227","elite","AS5769","CA","Videotron Ltee","93","Videotron Ltee","80","socks5","4793","2","2024-04-04T23:21:15.916Z","100","6683","6695"
"191.253.106.140","elite","AS28343","BR","Unifique Telecomunicações SA","218","UNIFIQUE TELECOMUNICACOES S/A","8080","socks4","1190","2","2024-04-04T23:21:15.418Z","93","6341","6797"
"172.67.105.234","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5009","2","2024-04-04T23:21:15.613Z","100","6708","6708"
"116.102.244.96","elite","AS7552","VN","Viettel Corporation","170","Viettel Group","5678","socks4","74","3","2024-04-04T23:21:15.217Z","62","4192","6769"
"103.47.93.213","elite","AS134058","IN","Broban Internet Services Pvt.ltd","174","Broban  PVT Ltd.","1080","socks4","107","2","2024-04-04T23:21:15.904Z","99","6732","6782"
"103.109.59.77","elite","N/A","BD","HelloTech Limited","176","N/A","1080","socks4","531","3","2024-04-04T23:21:15.300Z","98","6692","6813"
"50.233.111.162","elite","AS7922","US","Comcast Cable Communications, LLC","92","Comcast Cable Communications, LLC","32100","socks4","231","2","2024-04-04T23:21:15.305Z","100","6720","6721"
"104.16.81.76","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","77","1","2024-04-04T23:21:15.804Z","100","6647","6648"
"139.59.99.83","elite","AS14061","SG","DIGITALOCEAN","176","DigitalOcean, LLC","80","socks5","71","2","2024-04-04T23:21:15.617Z","100","6663","6670"
"128.199.175.145","elite","AS14061","SG","DigitalOcean, LLC","160","DigitalOcean, LLC","443","socks4","72","2","2024-04-04T23:21:15.403Z","99","6658","6724"
"170.244.64.198","elite","AS266492","BR","Flash Servicos EM Fibra Optica Ltda - ME","196","Flash Servicos EM Fibra Optica Ltda - ME","31476","socks4","72","2","2024-04-04T23:21:15.901Z","99","6769","6805"
"110.34.166.186","elite","AS45652","SG","VPLS, Inc.","282","Vpls Sin1","4153","socks4","72","94","2024-04-04T23:21:15.604Z","99","6713","6775"
"65.109.199.184","elite","AS24940","FI","Hetzner Online GmbH","40","Hetzner Online GmbH","80","http","2512","83316","2024-04-04T23:21:15.308Z","100","20","20"
"185.243.126.53","elite","AS59959","CZ","SferiaNET.cz s.r.o.","84","Sferia","4191","socks4","66","4","2024-04-04T23:21:15.407Z","100","6672","6677"
"104.17.132.79","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","71","98","2024-04-04T23:21:15.809Z","100","6611","6611"
"162.247.243.167","elite","AS54113","US","Fastly, Inc.","2","New Relic","80","socks4","4807","2","2024-04-04T23:21:15.316Z","98","6672","6783"
"103.47.92.33","elite","AS134058","IN","Broban Internet Services Pvt.ltd","163","Broban  PVT Ltd.","1080","socks4","232","91","2024-04-04T23:21:15.518Z","99","6554","6617"
"120.50.40.184","elite","AS17547","SG","M1 NET LTD","164","M1 NET LTD","3128","socks4","3313","1","2024-04-04T23:21:15.801Z","100","6652","6685"
"87.255.13.217","elite","AS35810","RU","BIG TELECOM CLOSED JSC","51","N/A","8080","socks4","71","1","2024-04-04T23:19:56.506Z","100","6813","6831"
"43.134.183.120","elite","AS132203","SG","Aceville Pte.ltd","342","N/A","443","socks4","72","2","2024-04-04T23:19:56.309Z","85","5747","6765"
